"","node","mean","median","sd","n","CI_upper","CI_lower"
"195","610",-0.281790879760278,-0.2654792,0.203263379890405,18005,-0.278821821966944,-0.284759937553612
"196","611",-0.323245051581267,-0.3483153,0.367880149570406,18005,-0.317871445053206,-0.328618658109329
"197","612",-0.11960577223489,-0.1519142,0.321566245853721,18005,-0.114908670529507,-0.124302873940273
"198","613",-0.0923087658049938,-0.08006331,0.310742114751613,18005,-0.0877697716289754,-0.0968477599810123
"199","614",-0.237024854612751,-0.20985,0.488516008586773,18005,-0.229889126262445,-0.244160582963057
"200","615",-0.126425470371519,-0.1367987,0.176592430382153,18005,-0.123845993773459,-0.129004946969579
"201","616",-0.00941484838184037,0.05153605,0.388053978501572,18005,-0.00374656376645326,-0.0150831329972275
"202","617",-0.0314149414145116,-0.006592658,0.226862707396354,18005,-0.0281011694513809,-0.0347287133776422
"203","618",-0.154366062019634,-0.109815,0.320246919026889,18005,-0.149688231653728,-0.15904389238554
"204","619",-0.154138566821283,-0.1073206,0.320181082331205,18005,-0.149461698128623,-0.158815435513942
"205","620",-0.0330615610443123,0.004908632,0.317436957683287,18005,-0.0284247756400256,-0.037698346448599
"206","621",-0.154661318073914,-0.1081109,0.320374363933241,18005,-0.14998162612678,-0.159341010021049
"207","622",-0.107246541210586,-0.115722,0.284498980081617,18005,-0.103090879160381,-0.111402203260791
"208","623",0.0499265430503138,0.06383469,0.276883630003393,18005,0.0539709680714438,0.0458821180291839
"209","624",0.0779849266556056,0.07842866,0.284070008624295,18005,0.0821343227416748,0.0738355305695365
"210","625",0.188531775923443,0.1796095,0.295878486942369,18005,0.192853657848312,0.184209893998574
"211","626",0.0272842439114222,0.07498869,0.315940301092835,18005,0.0318991677294447,0.0226693200933998
"212","627",0.0602060741702099,0.1026268,0.329162354017472,18005,0.0650141318390074,0.0553980165014125
"213","628",0.0710709169500494,0.05074943,0.237884727846096,18005,0.0745456870021238,0.067596146897975
"214","629",0.0833824997553425,0.07635111,0.22278689964572,18005,0.0866367366031333,0.0801282629075517
"215","630",0.0478946310670059,0.06453565,0.204165643714762,18005,0.0508768681818723,0.0449123939521394
"216","631",0.0780303270732046,0.09329036,0.203668734202414,18005,0.0810053058562406,0.0750553482901685
"217","632",0.0920338283171394,0.09621203,0.205624664318353,18005,0.0950373772713351,0.0890302793629438
"218","633",0.190522690167807,0.1986872,0.203219389607404,18005,0.193491105397327,0.187554274938286
"219","634",0.0847251856845935,0.07787143,0.22383300543986,18005,0.087994702946212,0.081455668422975
"220","635",0.122199732139323,0.1297475,0.269331039882097,18005,0.126133836862859,0.118265627415788
"221","636",0.111839667270197,0.1134101,0.288343176701882,18005,0.116051481303807,0.107627853236587
"222","637",0.0947923524934896,0.08340604,0.246690669540698,18005,0.0983957504854816,0.0911889545014976
"223","638",0.0970438090845654,0.1233141,0.224178347626456,18005,0.10031837074184,0.0937692474272913
"224","639",-0.0178186338409938,0.02879523,0.298192054811691,18005,-0.0134629577485944,-0.0221743099333932
"225","640",-0.120598879849502,-0.1557107,0.37507506411875,18005,-0.115120177572646,-0.126077582126358
"226","641",-0.0301838816360885,-0.05681627,0.348825084034557,18005,-0.0250886114756611,-0.0352791517965159
"227","642",-0.0196982998266151,-0.0395762,0.336972667919699,18005,-0.0147761573021378,-0.0246204423510923
"228","643",-0.0173010936770952,-0.02049958,0.32724753011833,18005,-0.0125210057430512,-0.0220811816111393
"229","644",-0.197475968221972,-0.2044086,0.122222325176742,18005,-0.195690672969668,-0.199261263474275
"230","645",-0.197618918224954,-0.2031728,0.122066935312543,18005,-0.19583589274445,-0.199401943705459
"231","646",-0.089083441396274,-0.07289689,0.344956348597708,18005,-0.0840446816564906,-0.0941222011360574
"232","647",-0.129455516713363,-0.1302979,0.335486436323965,18005,-0.124555083497786,-0.134355949928941
"233","648",-0.218313445173624,-0.2158844,0.301139379283656,18005,-0.213914717663415,-0.222712172683833
"234","649",-0.00488431005642765,0.02992933,0.331525361615454,18005,-4.17360565120378e-05,-0.00972688405634325
"235","650",-0.0323290542785793,-0.02714174,0.284861132546222,18005,-0.0281681022858478,-0.0364900062713108
"236","651",0.110645914637806,0.09944136,0.242496492249263,18005,0.11418804849663,0.107103780778982
"237","652",0.110397831028059,0.09391125,0.239254193430078,18005,0.113892604793872,0.106903057262246
"238","653",0.0300608367913472,0.02050157,0.298741364686036,18005,0.0344245366249845,0.0256971369577099
"239","654",-0.00100041512672214,0.001465787,0.237120287768849,18005,0.00246318878824426,-0.00446401904168854
"240","655",-0.034608651195271,-0.03581649,0.236383748537743,18005,-0.0311558058711801,-0.0380614965193619
"241","656",-0.133332672387626,-0.1293808,0.211068791871505,18005,-0.130249601340723,-0.136415743434528
"242","657",0.188268235990019,0.1882942,0.221495671639895,18005,0.191503611936374,0.185032860043664
"243","658",0.187180823727404,0.1829866,0.220761207216328,18005,0.190405471389491,0.183956176065317
"244","659",0.253745989451247,0.2526109,0.238085900894149,18005,0.257223698027745,0.25026828087475
"245","660",0.0781966273221218,0.09008593,0.343234293713022,18005,0.083210233094286,0.0731830215499576
"246","661",0.0675666628907417,0.05986421,0.342441276933909,18005,0.0725686851073755,0.0625646406741079
"247","662",-0.226240770101748,-0.2829799,0.330608285631063,18005,-0.221411591783829,-0.231069948419667
"248","663",-0.155174255306359,-0.1509499,0.223017089000886,18005,-0.151916656094431,-0.158431854518286
"249","664",-0.154721020750164,-0.1526668,0.22235391664088,18005,-0.151473108462979,-0.15796893303735
"250","665",-0.147089913442522,-0.1398813,0.20880062527356,18005,-0.1440399733891,-0.150139853495943
"251","666",-0.254870240980478,-0.2509395,0.237275163970932,18005,-0.251404374796749,-0.258336107164206
"252","667",-0.0378865157379169,-0.006650257,0.28243693148127,18005,-0.0337609739261456,-0.0420120575496881
"253","668",-0.0658997175231216,-0.08386588,0.227621950470133,18005,-0.0625748553352468,-0.0692245797109964
"254","669",0.00092889880222263,0.0003494022,0.18068733111202,18005,0.00356818940579383,-0.00171039180134857
"255","670",-0.00467991925445099,-0.009533547,0.122683980109366,18005,-0.00288788063216031,-0.00647195787674167
"256","671",0.0332314521828992,0.08316457,0.368789189615651,18005,0.038618337012405,0.0278445673533935
"257","672",-0.128905923912225,-0.1461134,0.343168344966984,18005,-0.123893281450021,-0.133918566374429
"258","673",-0.0995675794218441,-0.0991964,0.263914094589151,18005,-0.0957125997411308,-0.103422559102557
"259","674",-0.122937334916558,-0.1030139,0.210671516914918,18005,-0.119860066844626,-0.12601460298849
"260","675",0.0788879402864902,0.09284572,0.236569152080691,18005,0.0823434937906497,0.0754323867823306
"261","676",0.0988999535519446,0.0657369,0.255724538386573,18005,0.102635308804095,0.0951645982997945
