"","node","mean","median","sd","n","CI_upper","CI_lower"
"50","465",-0.321040699544571,-0.321096,0.0243581320756685,18005,-0.320684901555237,-0.321396497533905
"51","466",-0.277207564798667,-0.2765912,0.0175514000690773,18005,-0.276951192395595,-0.277463937201739
"52","467",-0.277241427014718,-0.276925,0.017879092504788,18005,-0.276980268024999,-0.277502586004437
"53","468",-0.270810777678423,-0.2708631,0.0238117295599528,18005,-0.270462960962687,-0.271158594394158
"54","469",-0.294326322677034,-0.2946214,0.0247074282707981,18005,-0.293965422536044,-0.294687222818025
"55","470",-0.272577859305748,-0.271388,0.0118202941679216,18005,-0.272405200873434,-0.272750517738063
"56","471",-0.267077390780339,-0.2666565,0.0136046797284027,18005,-0.266878667919412,-0.267276113641265
"57","472",-0.265487678000555,-0.2649395,0.0149378631601024,18005,-0.265269481397433,-0.265705874603678
"58","473",-0.265062201766176,-0.2650968,0.0151163367082694,18005,-0.264841398209064,-0.265283005323288
"59","474",-0.254658121871702,-0.2541035,0.0182266012611774,18005,-0.254391886839353,-0.254924356904051
"60","475",-0.246577021194113,-0.2463607,0.0213967940904981,18005,-0.246264479317258,-0.246889563070967
"61","476",-0.236309030674813,-0.2360925,0.0236535033750709,18005,-0.235963525160867,-0.236654536188758
"62","477",-0.276813335945571,-0.2764143,0.0183840796706931,18005,-0.276544800634149,-0.277081871256993
"63","478",-0.264330539511247,-0.2630949,0.0158198892540424,18005,-0.264099459198085,-0.264561619824409
"64","479",-0.221888702649264,-0.2213681,0.0168930867115219,18005,-0.221641946195734,-0.222135459102794
"65","480",-0.284961201449597,-0.2845754,0.0217911813102632,18005,-0.284642898778796,-0.285279504120399
"66","481",-0.314329650308248,-0.3138036,0.0252995453553042,18005,-0.31396010114329,-0.314699199473205
"67","482",-0.251176703454596,-0.2515576,0.0052857483577747,18005,-0.251099494798695,-0.251253912110497
"68","483",-0.251428447148014,-0.2516637,0.00508994169225083,18005,-0.251354098630061,-0.251502795665967
"69","484",-0.251622950985837,-0.2516812,0.00534924804046977,18005,-0.251544814793319,-0.251701087178355
"70","485",-0.299283740244377,-0.2997195,0.022637701317639,18005,-0.298953072499126,-0.299614407989627
"71","486",-0.25131105558456,-0.2518661,0.00528071212596102,18005,-0.251233920492639,-0.25138819067648
"72","487",-0.206916717717301,-0.2078022,0.0218715381383053,18005,-0.206597241278423,-0.207236194156179
"73","488",-0.220512629530686,-0.2235892,0.0179880815045531,18005,-0.220249878544222,-0.22077538051715
"74","489",-0.219994147714524,-0.2229197,0.0180531492190007,18005,-0.219730446287283,-0.220257849141765
"75","490",-0.201427256500972,-0.2021997,0.022649391607702,18005,-0.201096417996253,-0.201758095005691
"76","491",-0.306264687314635,-0.3062048,0.0128613412362594,18005,-0.306076822361042,-0.306452552268228
"77","492",-0.311841219444599,-0.3108758,0.0102401978558002,18005,-0.311691641398295,-0.311990797490902
"78","493",-0.311936279627881,-0.3110214,0.0102254137595132,18005,-0.311786917532116,-0.312085641723646
"79","494",-0.321952485742849,-0.3221496,0.0224473852049784,18005,-0.321624597935322,-0.322280373550376
"80","495",-0.28360517029714,-0.2834647,0.023217254172375,18005,-0.283266037052984,-0.283944303541295
"81","496",-0.281868355284643,-0.2805209,0.00780044462773754,18005,-0.281754414588951,-0.281982295980335
"82","497",-0.281834835662316,-0.2803451,0.00777196265751639,18005,-0.281721311001306,-0.281948360323326
"83","498",-0.28239114236601,-0.2820498,0.0088318250372623,18005,-0.28226213634943,-0.28252014838259
"84","499",-0.283824274251597,-0.2841488,0.00980426196468141,18005,-0.283681063898557,-0.283967484604636
"85","500",-0.283876422876979,-0.284437,0.00993150785885003,18005,-0.283731353849671,-0.284021491904286
"86","501",-0.282095453451819,-0.2827422,0.0125029069752831,18005,-0.281912824129143,-0.282278082774495
"87","502",-0.281578342177173,-0.2818255,0.0203983355528507,18005,-0.281280384733108,-0.281876299621238
"88","503",-0.286631194423771,-0.2856738,0.0137280873211971,18005,-0.286430668954449,-0.286831719893094
"89","504",-0.286709054323799,-0.2854094,0.0141110691985771,18005,-0.286502934657783,-0.286915173989815
"90","505",-0.284694659439045,-0.2851387,0.0230647247145617,18005,-0.284357754184877,-0.285031564693212
"91","506",-0.248691331180228,-0.246989,0.0213541556416603,18005,-0.248379412121014,-0.249003250239441
"92","507",-0.24870817370175,-0.2472454,0.0214325866214332,18005,-0.248395109005227,-0.249021238398273
"93","508",-0.270957413118578,-0.2640581,0.024794629947826,18005,-0.270595239227152,-0.271319587010005
"94","509",-0.279616265431824,-0.2786405,0.0303951555477305,18005,-0.279172284949422,-0.280060245914227
"95","510",-0.260908201455151,-0.2595399,0.0420743175744527,18005,-0.260293624050402,-0.261522778859901
"96","511",-0.288419457639545,-0.2879094,0.0470300174957525,18005,-0.287732492579524,-0.289106422699565
"97","512",-0.235148264876423,-0.2290063,0.0188462290141379,18005,-0.23487297897318,-0.235423550779666
"98","513",-0.235053326631491,-0.2272317,0.01865518859308,18005,-0.234780831245907,-0.235325822017075
"99","514",-0.235154844820883,-0.2275551,0.0187246549465915,18005,-0.234881334743826,-0.23542835489794
"100","515",-0.232740731019161,-0.23207,0.0263539706247514,18005,-0.232355779918226,-0.233125682120097
"101","516",-0.233925663412941,-0.2338935,0.0661000284971134,18005,-0.232960143677636,-0.234891183148246
"102","517",-0.184859555482922,-0.1805816,0.0531091730430051,18005,-0.184083792508765,-0.185635318457078
"103","518",-0.146282910072758,-0.1457103,0.0342906517205445,18005,-0.145782028277009,-0.146783791868506
"104","519",-0.143615963582338,-0.1413785,0.019893259246049,18005,-0.143325383762052,-0.143906543402624
"105","520",-0.143578884576506,-0.140916,0.0195016157303468,18005,-0.143294025473022,-0.143863743679991
"106","521",-0.145638286229936,-0.1457502,0.0233787502935958,18005,-0.145296794020198,-0.145979778439674
"107","522",-0.142691632398778,-0.1464832,0.0225623991363629,18005,-0.142362064588638,-0.143021200208918
"108","523",-0.142408417236323,-0.1448601,0.0224435009509789,18005,-0.142080586165896,-0.142736248306751
"109","524",-0.13648132526576,-0.1349699,0.0182184286130772,18005,-0.136215209610863,-0.136747440920656
"110","525",-0.175651163099139,-0.1743081,0.016328250428062,18005,-0.175412657180311,-0.175889669017968
"111","526",-0.175691228853096,-0.1741881,0.0164452313583877,18005,-0.175451014199802,-0.175931443506391
"112","527",-0.166814376162177,-0.1653314,0.0161890223746599,18005,-0.166577903940403,-0.167050848383951
"113","528",-0.166654189330742,-0.1654219,0.0163429157086909,18005,-0.166415469196909,-0.166892909464574
"114","529",-0.136044405401277,-0.1354703,0.0182841534073006,18005,-0.135777329707674,-0.136311481094881
"115","530",-0.152616521600111,-0.1520542,0.026316325118043,18005,-0.152232120385166,-0.153000922815056
"116","531",-0.142643834167731,-0.1456869,0.0227415752550085,18005,-0.142311649141191,-0.142976019194271
"117","532",-0.145813077244654,-0.1456638,0.0241183536272492,18005,-0.145460781686851,-0.146165372802457
"118","533",-0.143516792929742,-0.1405018,0.0196948935276649,18005,-0.143229110627358,-0.143804475232126
"119","534",-0.128659815955235,-0.1286022,0.035570092240258,18005,-0.128140245437257,-0.129179386473212
"120","535",-0.138660395609053,-0.137926,0.0376769706962283,18005,-0.138110050025234,-0.139210741192872
"121","536",-0.1555674286787,-0.155695,0.0386826420884672,18005,-0.155002393304294,-0.156132464053107
"122","537",-0.185688189928909,-0.1834144,0.0533402262439741,18005,-0.184909051972464,-0.186467327885353
"123","538",-0.269518409225215,-0.2689236,0.0316051906483727,18005,-0.269056753821989,-0.269980064628441
"124","539",-0.275605480644265,-0.2751707,0.0270203799328094,18005,-0.275210795336653,-0.276000165951878
"125","540",-0.194351813565287,-0.1928429,0.054974948119389,18005,-0.193548797310023,-0.195154829820552
"126","541",-0.201318279668425,-0.2008198,0.0409314404729252,18005,-0.200720396211041,-0.20191616312581
"127","542",-0.217256534366009,-0.2185385,0.0335207280006812,18005,-0.216766898806656,-0.217746169925363
"128","543",-0.245483404653707,-0.2450156,0.0383757938169276,18005,-0.244922851396308,-0.246043957911106
"129","544",-0.251103418550403,-0.2505901,0.0399508501179884,18005,-0.250519858526177,-0.251686978574629
"130","545",-0.195501103126909,-0.198823,0.0220885116258411,18005,-0.195178457367396,-0.195823748886422
"131","546",-0.195639662182727,-0.1986972,0.0220116238507272,18005,-0.195318139519013,-0.195961184846442
"132","547",-0.15273769088531,-0.1531711,0.0313677034085035,18005,-0.152279504446049,-0.15319587732457
"133","548",-0.137334920558733,-0.1366038,0.0180495276389684,18005,-0.137071272031727,-0.13759856908574
