node,mean,median,sd,n,CI_upper,CI_lower,notes
525,3.433825232,3.433464,0.01002886,18005,3.433971723,3.433678741,
526,3.433547309,3.433436,0.009925617,18005,3.433692292,3.433402326,
527,3.43493862,3.435136,0.010604672,18005,3.435093522,3.434783718,
528,3.43528621,3.436028,0.010728912,18005,3.435442927,3.435129493,
529,3.449020203,3.44925,0.013438431,18005,3.449216497,3.448823909,
530,3.442342516,3.442376,0.018638144,18005,3.442614763,3.44207027,
531,3.450516253,3.450914,0.014504128,18005,3.450728114,3.450304392,
532,3.453550922,3.454484,0.019290935,18005,3.453832704,3.453269141,
533,3.452945134,3.451003,0.014905445,18005,3.453162857,3.452727411,
534,3.435364437,3.435067,0.026206879,18005,3.43574724,3.434981635,
535,3.446212413,3.446468,0.026236571,18005,3.446595649,3.445829176,
536,3.441520723,3.441114,0.028003934,18005,3.441929775,3.441111671,
537,3.434098009,3.433687,0.032831228,18005,3.434577573,3.433618445,
538,3.407832462,3.408284,0.022838695,18005,3.408166066,3.407498859,
539,3.408418407,3.408601,0.019906785,18005,3.408709184,3.40812763,
540,3.530178115,3.530202,0.038532503,18005,3.530740957,3.529615273,
541,3.520413501,3.519811,0.02954696,18005,3.520845092,3.51998191,
542,3.510370877,3.510087,0.024526764,18005,3.510729138,3.510012615,
543,3.508309049,3.508403,0.026175867,18005,3.508691399,3.5079267,
544,3.506953441,3.506302,0.027389723,18005,3.507353521,3.50655336,
545,3.502524504,3.51165,0.021017451,18005,3.502831505,3.502217503,
546,3.502423501,3.511625,0.021037616,18005,3.502730796,3.502116206,
547,3.595757726,3.595828,0.023394177,18005,3.596099444,3.595416009,
548,3.605173314,3.605902,0.015068907,18005,3.605393425,3.604953203,
549,3.605138515,3.606054,0.015000998,18005,3.605357634,3.604919397,
550,3.38906669,3.388149,0.075111626,18005,3.390163842,3.387969539,
551,3.402612932,3.40219,0.020633276,18005,3.402914321,3.402311543,Root of Lake Victoria
552,3.402807311,3.402492,0.020535921,18005,3.403107278,3.402507344,
553,3.40251078,3.402583,0.028445928,18005,3.402926288,3.402095272,
554,3.402979502,3.403416,0.036826824,18005,3.403517429,3.402441574,
555,3.415768618,3.415537,0.003299975,18005,3.41581682,3.415720415,
556,3.414642484,3.414889,0.004262751,18005,3.414704749,3.414580218,
557,3.413695694,3.414026,0.004721153,18005,3.413764656,3.413626732,
558,3.413466798,3.413236,0.005204497,18005,3.41354282,3.413390776,
559,3.413724129,3.414,0.004862396,18005,3.413795154,3.413653105,
560,3.406409071,3.406201,0.009698109,18005,3.406550731,3.406267412,
561,3.416151303,3.41693,0.007902268,18005,3.416266731,3.416035875,
562,3.409253914,3.409363,0.0095196,18005,3.409392966,3.409114862,
563,3.416140345,3.416811,0.007930482,18005,3.416256185,3.416024504,
564,3.415903049,3.415396,0.003211696,18005,3.415949962,3.415856135,
565,3.434207677,3.434844,0.0094949,18005,3.434346369,3.434068986,
566,3.447822695,3.447535,0.005112825,18005,3.447897378,3.447748012,
567,3.416018447,3.415788,0.003316364,18005,3.416066889,3.415970005,
568,3.416057663,3.415554,0.003289261,18005,3.416105709,3.416009617,
569,3.400747752,3.399297,0.031115454,18005,3.401202254,3.400293251,
570,3.40015144,3.399367,0.031001728,18005,3.40060428,3.399698599,
571,3.379718095,3.380609,0.024419048,18005,3.380074783,3.379361408,
572,3.379653656,3.38075,0.024523526,18005,3.38001187,3.379295442,
573,3.436028319,3.435938,0.001339691,18005,3.436047888,3.43600875,
574,3.378337887,3.377252,0.0805525,18005,3.379514513,3.37716126,
575,3.369092223,3.368391,0.052537072,18005,3.369859629,3.368324817,
576,3.403942345,3.401255,0.085732977,18005,3.405194642,3.402690048,
577,3.422836183,3.428253,0.072463585,18005,3.423894654,3.421777711,
578,3.438351985,3.439705,0.058609146,18005,3.439208086,3.437495884,
579,3.438285673,3.43913,0.051454696,18005,3.439037269,3.437534077,
580,3.438153732,3.438032,0.047199568,18005,3.438843173,3.43746429,
581,3.436471927,3.435198,0.045457885,18005,3.437135928,3.435807926,
582,3.430855074,3.431728,0.0469304,18005,3.431540584,3.430169564,
583,3.428627255,3.429474,0.043684528,18005,3.429265353,3.427989158,
584,3.423425734,3.423888,0.050839831,18005,3.424168349,3.42268312,
585,3.423307942,3.423205,0.051448334,18005,3.424059446,3.422556439,
586,3.425349969,3.425174,0.055458189,18005,3.426160044,3.424539894,
587,3.415887911,3.416955,0.058947229,18005,3.41674895,3.415026872,
588,3.429024883,3.428776,0.043867248,18005,3.429665649,3.428384116,
589,3.45068632,3.449939,0.062236758,18005,3.451595409,3.449777231,
590,3.453080843,3.45095,0.068956131,18005,3.454088082,3.452073605,
591,3.448324919,3.447958,0.062372725,18005,3.449235995,3.447413844,
592,3.474696468,3.478065,0.07014307,18005,3.475721044,3.473671892,
593,3.450327788,3.450015,0.067000589,18005,3.451306462,3.449349114,
594,3.414645619,3.418007,0.074944722,18005,3.415740332,3.413550905,
595,3.407585155,3.411976,0.086538554,18005,3.408849219,3.406321091,
596,3.408721068,3.412184,0.084896994,18005,3.409961154,3.407480982,
597,3.399716578,3.400743,0.082288383,18005,3.40091856,3.398514596,
598,3.40075016,3.398372,0.086580676,18005,3.402014839,3.39948548,
599,3.461898909,3.465215,0.066351969,18005,3.462868109,3.460929709,
600,3.463534845,3.465869,0.065146885,18005,3.464486442,3.462583248,
601,3.455231708,3.454907,0.040770145,18005,3.455827235,3.45463618,
602,3.455102621,3.454921,0.039404165,18005,3.455678196,3.454527046,
603,3.448747019,3.4478,0.034186842,18005,3.449246384,3.448247653,
604,3.448574271,3.447888,0.03440672,18005,3.449076848,3.448071694,
