"","tree","model","AICc","regime"
"223",46,"OUM",-1031.89725546925,"riverine_lacustrine"
"224",46,"OUMV",-1039.967188093,"riverine_lacustrine"
"225",46,"OUMVA",-1038.17726503253,"riverine_lacustrine"
"226",47,"BMS",-723.333277544449,"riverine_lacustrine"
"227",47,"OUM",-1031.90471366936,"riverine_lacustrine"
"228",47,"OUMV",-1039.98254325165,"riverine_lacustrine"
"229",47,"OUMVA",-1006.38960920991,"riverine_lacustrine"
"230",48,"BMS",-723.229820694767,"riverine_lacustrine"
"231",48,"OUM",-1031.99005481358,"riverine_lacustrine"
"232",48,"OUMV",-1040.07514093995,"riverine_lacustrine"
"233",48,"OUMA",-921.290441202417,"riverine_lacustrine"
"234",48,"OUMVA",-1053.92869288246,"riverine_lacustrine"
"235",49,"BMS",-723.305072449241,"riverine_lacustrine"
"236",49,"OUM",-1032.31011493715,"riverine_lacustrine"
"237",49,"OUMV",-1040.32314830294,"riverine_lacustrine"
"238",49,"OUMA",-917.750179087099,"riverine_lacustrine"
"239",49,"OUMVA",-1000.74238468936,"riverine_lacustrine"
"240",50,"BMS",-718.874673153449,"riverine_lacustrine"
"241",50,"OUM",-1031.88788905802,"riverine_lacustrine"
"242",50,"OUMV",-1039.95683121939,"riverine_lacustrine"
"243",50,"OUMVA",-963.14464569034,"riverine_lacustrine"
"244",51,"BMS",-721.670372092443,"riverine_lacustrine"
"245",51,"OUM",-1032.64401959868,"riverine_lacustrine"
"246",51,"OUMV",-1040.48964822176,"riverine_lacustrine"
"247",51,"OUMA",-801.596482861637,"riverine_lacustrine"
"248",51,"OUMVA",-1002.49151307613,"riverine_lacustrine"
"249",52,"BMS",-723.157527345465,"riverine_lacustrine"
"250",52,"OUM",-1031.57486814183,"riverine_lacustrine"
"251",52,"OUMV",-1039.82572843571,"riverine_lacustrine"
"252",52,"OUMA",-902.158744428803,"riverine_lacustrine"
"253",52,"OUMVA",-1021.1395766838,"riverine_lacustrine"
"254",53,"BMS",-723.639891959976,"riverine_lacustrine"
"255",53,"OUM",-1031.68079899084,"riverine_lacustrine"
"256",53,"OUMV",-1039.69833246916,"riverine_lacustrine"
"257",53,"OUMVA",-1049.77926048261,"riverine_lacustrine"
"258",54,"BMS",-720.20318169907,"riverine_lacustrine"
"259",54,"OUM",-1032.1043601686,"riverine_lacustrine"
"260",54,"OUMV",-1039.90718421902,"riverine_lacustrine"
"261",54,"OUMA",-905.736807862728,"riverine_lacustrine"
"262",54,"OUMVA",-1013.49103925069,"riverine_lacustrine"
"263",55,"BMS",-722.932261556325,"riverine_lacustrine"
"264",55,"OUM",-1031.88515303268,"riverine_lacustrine"
"265",55,"OUMV",-1039.95358547849,"riverine_lacustrine"
"266",55,"OUMA",-931.87516834261,"riverine_lacustrine"
"267",55,"OUMVA",-1016.98884257789,"riverine_lacustrine"
"268",56,"BMS",-721.777053729798,"riverine_lacustrine"
"269",56,"OUM",-1031.89314487058,"riverine_lacustrine"
"270",56,"OUMV",-1039.96316259024,"riverine_lacustrine"
"271",56,"OUMVA",-1019.72349697039,"riverine_lacustrine"
"272",57,"BMS",-721.574544754326,"riverine_lacustrine"
"273",57,"OUM",-1031.88577894078,"riverine_lacustrine"
"274",57,"OUMV",-1039.95472512287,"riverine_lacustrine"
"275",57,"OUMVA",-1015.39591916081,"riverine_lacustrine"
"276",58,"BMS",-721.960814715905,"riverine_lacustrine"
"277",58,"OUM",-1031.91127030126,"riverine_lacustrine"
"278",58,"OUMV",-1039.97527526982,"riverine_lacustrine"
"279",58,"OUMA",-891.076293700448,"riverine_lacustrine"
"280",58,"OUMVA",-1020.96041812631,"riverine_lacustrine"
"281",59,"BMS",-721.020722989514,"riverine_lacustrine"
"282",59,"OUM",-1031.88513136013,"riverine_lacustrine"
"283",59,"OUMV",-1039.95357030558,"riverine_lacustrine"
"284",59,"OUMA",-925.040378660359,"riverine_lacustrine"
"285",59,"OUMVA",-1026.75940319491,"riverine_lacustrine"
"286",60,"BMS",-720.844631918202,"riverine_lacustrine"
"287",60,"OUM",-1031.88850558785,"riverine_lacustrine"
"288",60,"OUMV",-1039.95805490167,"riverine_lacustrine"
"289",60,"OUMA",-768.030089706302,"riverine_lacustrine"
"290",60,"OUMVA",-1035.17128125269,"riverine_lacustrine"
"291",61,"BMS",-722.632620227016,"riverine_lacustrine"
"292",61,"OUM",-1031.88516388241,"riverine_lacustrine"
"293",61,"OUMV",-1039.95359313253,"riverine_lacustrine"
"294",61,"OUMA",-798.362126251682,"riverine_lacustrine"
"295",61,"OUMVA",-1002.47047141465,"riverine_lacustrine"
"296",62,"BMS",-723.748366578788,"riverine_lacustrine"
"297",62,"OUM",-1031.8851515775,"riverine_lacustrine"
"298",62,"OUMV",-1039.95358445371,"riverine_lacustrine"
"299",62,"OUMA",-975.822479768409,"riverine_lacustrine"
"300",62,"OUMVA",-1014.63372515696,"riverine_lacustrine"
"301",63,"BMS",-727.178225727444,"riverine_lacustrine"
"302",63,"OUM",-1031.86711790777,"riverine_lacustrine"
"303",63,"OUMV",-1039.9713384848,"riverine_lacustrine"
"304",63,"OUMA",-965.477714329375,"riverine_lacustrine"
"305",63,"OUMVA",-1056.97408620075,"riverine_lacustrine"
"306",64,"BMS",-719.901184538531,"riverine_lacustrine"
"307",64,"OUM",-1031.90015622488,"riverine_lacustrine"
