"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"194","Julidochromis marksmithi","Julidochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","pelagic","non-piscivore",-4.08886593543033,2.03813287971396,0.200738578282157,0.0358699817473065,0.0376986814756165,0.0140381340306521,-2.54256775735643e-11
"197","Julidochromis regani","Julidochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-3.6994962616819,2.13631229542017,-0.152595689388981,0.0860515412157111,0.0410931653250675,0.0141297895414452,-2.54312155380137e-11
"195","Julidochromis marlieri","Julidochromis","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","demersal","non-piscivore",-3.66353770567467,2.2924540076392,0.293813848968972,0.0916512098382836,0.0364680520995878,0.0286563350282307,-2.55073776370574e-11
"298","Neolamprologus furcifer","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.6417449519858,4.63721048175362,1.42971672236554,0.465133782550967,0.0691283270512387,0.0615957308857086,-2.55168354126167e-11
"333","Neolamprologus timidus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.99042311365769,4.5234578210594,1.92437787072087,0.369769105886776,0.0532995982543028,0.0654397028091288,-2.56053055350773e-11
"287","Neolamprologus buescheri","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.55145611383166,3.24976939929151,1.68217558113183,0.247349348635339,0.0225118634212008,0.0719644509658438,-2.5636802495849e-11
"317","Neolamprologus prochilus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-0.888704466156858,3.84011307397204,1.55571438463133,0.528919810262633,0.0267008989864926,0.0647716129784388,-2.56284267424306e-11
"312","Neolamprologus obscurus","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-0.864238918508185,4.18377102133691,1.79520860788069,0.402121389420105,0.028879068062345,0.0542633310104185,-2.556454792295e-11
"310","Neolamprologus niger","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.69933471828108,3.82149256705027,1.93681902057107,0.312842346263917,0.0207360625204155,0.0658271191942802,-2.56254110572598e-11
"309","Neolamprologus mustax","Neolamprologus","Lamprologini","Other","Lake Tanganyika","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.4666814720298,3.10640237344106,0.13076276235251,0.305597767437283,0.0368517028024781,0.05187708922102,-2.55231472984254e-11
