"","precaudal_count","caudal_count","total_count","ln_pc_ln_c","ln_length_ln_width","ln_ant_length_ln_width","ln_post_length_ln_width"
"Pelmatochromis buettikoferi",2.62423573518451,2.56494935746154,3.28828880040776,0.0592863777229775,0.7539982328,-0.4090303208,0.3945429448
"Coptodon zillii",2.68735233965612,2.64595661676395,3.36027756602422,0.0413957228921711,0.774178938,-0.3778275456,0.4215632865
"Coptodon guineensis",2.63905732961526,2.63905732961526,3.3322045101752,0,0.757437361,-0.475873955,0.460755072
"Coptodon discolor",2.70805020110221,2.56494935746154,3.3322045101752,0.143100843640673,0.7687822075,-0.378631027,0.430593087
"Coptodon dageti",2.69080198323047,2.58347635049997,3.3322045101752,0.107325632730505,0.72773608325,-0.393852682,0.36187606225
"Coptodon tholloni",2.56494935746154,2.63905732961526,3.29583686600433,-0.0741079721537217,0.732003034,-0.414517502,0.379118096
"Coptodon rendalli",2.71391733938744,2.62558315286004,3.36410571000363,0.0883341865274074,0.7285852878,-0.4597827469,0.3998410515
"Benthochromis horii",2.8560767095922,2.98034428523773,3.61343859193125,-0.12426757564553,1.2608972117,-0.0701614887,0.9538461175
"Benthochromis melanoides",2.83892918544021,2.93847747166287,3.58336455790039,-0.0995482862226567,1.2899448871,-0.0463791099,0.9851303929
"Benthochromis tricoti",2.81502595751129,2.97008562636022,3.58884435273802,-0.15505966884893,1.2649677821,-0.0498417304,0.9524921693
"Xenochromis hecqui",2.70805020110221,2.95013823409839,3.52958136204652,-0.24208803299618,1.15491397622222,-0.145058757888889,0.839405825444444
"Plecodus straeleni",2.71450405321597,2.9174053685313,3.51441933935629,-0.202901315315335,0.9296026259,-0.3847712205,0.6183809695
"Perissodus microlepis",2.75322716589851,2.91199864640427,3.52925927830349,-0.158771480505765,1.224525445,-0.1028786111,0.9174477476
"Perissodus eccentricus",2.70038432649255,2.95013823409839,3.52636052461616,-0.249753907605842,1.26084235355556,-0.0562357411111111,0.950314013444444
"Plecodus multidentatus",2.71611751624441,2.95085064096488,3.53360740883447,-0.234733124720478,1.277235247875,0.001166130875,0.95216767325
"Plecodus elaviae",2.77258872223978,3.00115340290615,3.58656326892146,-0.228564680666369,1.24353919055556,-0.132752939,0.954155447888889
"Plecodus paradoxus",2.83892918544021,3.03964342130648,3.6375168836585,-0.200714235866269,1.3623940943,-0.0546031418,1.0850347466
"Haplotaxodon microlepis",2.83321334405622,2.95726230276333,3.59036868200314,-0.124048958707112,1.235172946,-0.14266535475,0.94464561925
"Cyprichromis zonatus",2.97008562636022,2.90659192427725,3.63225251030995,0.063493702082968,1.2122438096,-0.0262807154,0.8715824425
"Cyprichromis pavo",3.00011066392731,2.93334814222411,3.66089832964742,0.0667625217031977,1.2996524411,-0.0246961642,0.991255748
"Cyprichromis coloratus",2.99035263109342,2.92281209065833,3.65057390292802,0.0675405404350937,1.2415975426,-0.0504118697,0.9221121867
"Cyprichromis leptosoma",2.91961079432698,2.88949461306745,3.59846383346781,0.0301161812595239,1.36002719772727,0.0911409726363636,1.03270657472727
"Cyprichromis microlepidotus",2.94928457060318,2.85811459574582,3.59828515543345,0.0911699748573613,1.42151008914,0.12070934008,1.10595350912
"Paracyprichromis brieni",2.78471364660307,2.98547361467648,3.58351893845611,-0.200759968073413,1.4559840664,0.1819188651,1.12939608
"Paracyprichromis nigripinnis",2.79683857096636,2.94416158647817,3.56661641227609,-0.147323015511812,1.3767368289,0.1528515795,1.0319186721
"Callochromis pleurospilus",2.57236015467691,2.9495683086052,3.47189023453308,-0.377208153928287,1.2020100686,0.1004673898,0.8173268321
"Callochromis melanostigma",2.63905732961526,2.91199864640427,3.47804456626643,-0.272941316789016,1.1223505402,0.0733932311,0.7241533097
"Callochromis macrops",2.65285590391265,2.93903225703941,3.49940098822974,-0.286176353126764,1.0454243224,0.012794136,0.6404294783
"Ectodus descampsii",2.69425162680482,2.8900626386392,3.49026136018142,-0.195811011834378,1.2191766184,0.0717660937,0.8483457484
"Cunningtonia longiventralis",2.77865118442142,2.93334814222411,3.55228597582078,-0.154696957802688,0.9709527544,-0.2229652092,0.6229470358
"Aulonocranus dewindti",2.64195104838804,2.89618710288625,3.47072327365745,-0.254236054498216,1.06289485382353,-0.0479612887647059,0.674338474117647
"Lestradea perspicax",2.79683857096636,2.97008562636022,3.58070185075944,-0.17324705539386,1.2880584381,0.0890497092,0.9383743581
"Cardiopharynx schoutedeni",2.76613487012602,2.92281209065833,3.54085429305279,-0.156677220532306,1.2000390026,-0.0166282954,0.8599013996
"Ophthalmotilapia heterodonta",2.83321334405622,2.94443897916644,3.58351893845611,-0.111225635110224,1.025783255,-0.160212028,0.678545627
"Ophthalmotilapia ventralis",2.72095790532972,2.93362553491239,3.52627398198852,-0.212667629582661,0.9774632755,-0.1997967443,0.6245696859
"Ophthalmotilapia nasuta",2.77825979448931,2.97443693706707,3.57475855610913,-0.196177142577763,0.9838790364,-0.217722338,0.6426077844
