"","species_name","genus","tribe","haplochromine","water_system","lm_ecology","mouthbrooder","depth","piscivore","PC1","PC2","PC3","PC4","PC5"
"41","Sargochromis mortimeri","Sargochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore",-2.15599744116924,1.98380939454789,0.61729786400389,-0.0292144867062345,2.54895705226088e-11
"42","Sargochromis codringtonii","Sargochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","demersal","non-piscivore",-2.40391940395661,2.02501398572009,0.927193553861925,-0.0146693826359237,2.55007829944406e-11
"43","Thoracochromis albolabris","Thoracochromis","Serranochromini","Haplochromine","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",-1.1423215887748,4.88675926612829,-0.334762149231188,-0.0474384475208568,2.56027098761567e-11
"44","Neolamprologus devosi","Neolamprologus","Lamprologini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-2.22235446792819,4.42156695959604,-0.877502279388604,-0.0633139722813137,2.55544039701118e-11
"45","Gobiocichla ethelwynnae","Gobiocichla","Gobiocichlini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-5.93247930045598,-0.402018391261278,-0.532149457394004,0.134917996674611,2.49729719064067e-11
"46","Gobiocichla wonderi","Gobiocichla","Gobiocichlini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-5.47453158702306,1.45254661310032,-0.286979432966873,0.0251890599177031,2.52559028782427e-11
"47","Steatocranus irvinei","Steatocranus","Steatocranini","Other","Riverine","not_applicable","substrate_brooder","demersal","non-piscivore",-3.4306131786038,-1.09002404514006,0.701091969216919,0.140429956765123,2.50665242675969e-11
"48","Etia nguti","Etia","Etiini","Other","Riverine","not_applicable","maternal_mouthbrooder","benthopelagic","non-piscivore",0.95279930156212,-2.26278818407202,0.243215152102705,0.0649651506135747,2.53307245449087e-11
"49","Chilochromis duponti","Chilochromis","Tilapiini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",-1.33403406286446,-0.586403762902709,0.705593350615102,0.060393177627561,2.53311203239393e-11
"50","Tilapia guinasana","Tilapia","Tilapiini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",1.61980888980207,-0.58062322038838,-0.0590352336484373,-0.0239968638128867,2.5567191320047e-11
"51","Tilapia sparrmanii","Tilapia","Tilapiini","Other","Riverine","not_applicable","substrate_brooder","benthopelagic","non-piscivore",0.552486018445188,-0.605466714269937,0.178483631376678,0.00710253352245602,2.54573368392491e-11
