node,tribe,subtribe,water_system,notes
666,Ectodini,,Lake Tanganyika,
667,Ectodini,,Lake Tanganyika,
668,Ectodini,,Lake Tanganyika,
669,Ectodini,,Lake Tanganyika,
670,Ectodini,,Lake Tanganyika,
671,Ectodini,,Lake Tanganyika,
672,Ectodini,,Lake Tanganyika,
673,Ectodini,,Lake Tanganyika,
674,Ectodini,,Lake Tanganyika,
675,Ectodini,,Lake Tanganyika,
676,Limnochromini,,Lake Tanganyika,Root of Limnochromini
677,Limnochromini,,Lake Tanganyika,
678,Limnochromini,,Lake Tanganyika,
679,Limnochromini,,Lake Tanganyika,
680,Limnochromini,,Lake Tanganyika,
681,Limnochromini,,Lake Tanganyika,
682,Limnochromini,,Lake Tanganyika,
683,Limnochromini,,Lake Tanganyika,
684,Limnochromini,,Lake Tanganyika,
685,Ancestral,,Lake Tanganyika,dIvergence of Perissodini and Cyprichromini + Benthochromini
686,Ancestral,,Lake Tanganyika,divergence of Benthochromini and Perissodini
687,Perissodini,,Lake Tanganyika,
688,Perissodini,,Lake Tanganyika,
689,Perissodini,,Lake Tanganyika,
690,Perissodini,,Lake Tanganyika,
691,Perissodini,,Lake Tanganyika,
692,Perissodini,,Lake Tanganyika,
693,Perissodini,,Lake Tanganyika,
694,Benthochromini,,Lake Tanganyika,
695,Benthochromini,,Lake Tanganyika,
696,Cyprichromini,,Lake Tanganyika,
697,Cyprichromini,,Lake Tanganyika,
698,Cyprichromini,,Lake Tanganyika,
699,Cyprichromini,,Lake Tanganyika,
700,Cyprichromini,,Lake Tanganyika,
701,Cyprichromini,,Lake Tanganyika,
702,Cyprichromini,,Lake Tanganyika,
703,Ancestral,,Lake Tanganyika,
704,Lamprologini,,Lake Tanganyika,
705,Lamprologini,,Lake Tanganyika,
706,Lamprologini,,Lake Tanganyika,
707,Lamprologini,,Lake Tanganyika,
708,Lamprologini,,Lake Tanganyika,
709,Lamprologini,,Lake Tanganyika,
710,Lamprologini,,Lake Tanganyika,
711,Lamprologini,,Lake Tanganyika,
712,Lamprologini,,Lake Tanganyika,
